номер сеанса;Название организации;Тип иона;начало сеанса;конец сеанса;Продолжительность облучения;продолжительность сеанса;Время с учетом ТП (чистое);Начало ТП;конец ТП;Время ТП в сеансе;
-;Переход;Xe;31.03.2022 9:00;31.03.2022 15:30;;6:30:00;6:30:00;;;0:00:00;
1;ПН(Переход);Xe;31.03.2022 15:30;31.03.2022 17:00;0:09:08;1:30:00;1:30:00;;;0:00:00;
2;ПН(Переход);Xe;31.03.2022 17:00;31.03.2022 17:25;0:03:37;0:25:00;0:25:00;;;0:00:00;
3;ПН(Переход);Xe;31.03.2022 17:25;31.03.2022 17:40;0:12:29;0:15:00;0:15:00;;;0:00:00;
4;ПН(Переход);Xe;31.03.2022 17:40;31.03.2022 19:05;0:09:07;1:25:00;1:25:00;;;0:00:00;
5;СПЭЛС;Xe;31.03.2022 19:05;31.03.2022 20:04;0:08:22;0:59:00;0:59:00;;;0:00:00;
6;СПЭЛС;Xe;31.03.2022 20:04;31.03.2022 20:39;0:03:39;0:35:17;0:35:17;;;0:00:00;
7;СПЭЛС;Xe;31.03.2022 20:39;31.03.2022 21:38;0:28:05;0:59:00;0:59:00;;;0:00:00;
8;СПЭЛС;Xe;31.03.2022 21:38;31.03.2022 22:17;0:09:00;0:39:29;0:39:29;;;0:00:00;
9;СПЭЛС;Xe;31.03.2022 22:17;31.03.2022 22:57;0:19:51;0:39:45;0:39:45;;;0:00:00;
10;СПЭЛС;Xe;31.03.2022 22:57;31.03.2022 23:37;0:07:42;0:40:18;0:40:18;;;0:00:00;
11;СПЭЛС;Xe;31.03.2022 23:37;01.04.2022 0:18;0:09:38;0:40:42;0:40:42;;;0:00:00;
12;СПЭЛС;Xe;01.04.2022 0:18;01.04.2022 0:55;0:10:27;0:36:29;0:36:29;;;0:00:00;
13;СПЭЛС;Xe;01.04.2022 0:55;01.04.2022 1:45;0:17:44;0:50:00;0:50:00;;;0:00:00;
14;СПЭЛС;Xe;01.04.2022 1:45;01.04.2022 2:21;0:07:20;0:36:00;0:36:00;;;0:00:00;
15;СПЭЛС;Xe;01.04.2022 2:21;01.04.2022 3:07;0:19:29;0:46:00;0:46:00;;;0:00:00;
16;СПЭЛС;Xe;01.04.2022 3:07;01.04.2022 3:48;0:07:08;0:41:10;0:41:10;;;0:00:00;
17;СПЭЛС;Xe;01.04.2022 3:48;01.04.2022 4:39;0:19:19;0:50:50;0:50:50;;;0:00:00;
18;СПЭЛС;Xe;01.04.2022 4:39;01.04.2022 5:26;0:27:54;0:47:00;0:47:00;;;0:00:00;
19;СПЭЛС;Xe;01.04.2022 5:26;01.04.2022 6:19;0:04:51;0:53:00;0:53:00;;;0:00:00;
20;СПЭЛС;Xe;01.04.2022 6:19;01.04.2022 7:18;0:18:43;0:59:00;0:59:00;;;0:00:00;
21;СПЭЛС;Xe;01.04.2022 7:18;01.04.2022 8:00;0:08:07;0:42:18;0:42:18;;;0:00:00;
22;СПЭЛС;Xe;01.04.2022 8:00;01.04.2022 8:59;0:24:03;0:58:42;0:58:42;;;0:00:00;
23;СПЭЛС;Xe;01.04.2022 8:59;01.04.2022 9:39;0:07:36;0:40:00;0:40:00;;;0:00:00;
24;СПЭЛС;Xe;01.04.2022 9:39;01.04.2022 10:19;0:05:55;0:40:00;0:40:00;;;0:00:00;
25;СПЭЛС;Xe;01.04.2022 10:19;01.04.2022 10:55;0:03:28;0:36:00;0:36:00;;;0:00:00;
26;ПН(Смена);Xe;01.04.2022 10:55;01.04.2022 11:25;0:08:37;0:30:00;0:30:00;;;0:00:00;
27;СПЭЛС;Xe;01.04.2022 11:25;01.04.2022 13:20;0:57:31;1:55:00;1:55:00;;;0:00:00;
28;СПЭЛС;Xe;01.04.2022 13:20;01.04.2022 14:43;0:50:13;1:23:00;1:23:00;;;0:00:00;
29;СПЭЛС;Xe;01.04.2022 14:43;01.04.2022 15:55;0:43:26;1:12:00;1:12:00;;;0:00:00;
30;СПЭЛС;Xe;01.04.2022 15:55;01.04.2022 17:27;0:11:32;1:32:00;1:32:00;;;0:00:00;
31;СПЭЛС;Xe;01.04.2022 17:27;01.04.2022 18:40;0:27:06;1:13:00;1:13:00;;;0:00:00;
32;СПЭЛС;Xe;01.04.2022 18:40;01.04.2022 19:47;0:27:05;1:07:00;1:07:00;;;0:00:00;
33;СПЭЛС;Xe;01.04.2022 19:47;01.04.2022 20:28;0:14:54;0:41:00;0:41:00;;;0:00:00;
34;СПЭЛС;Xe;01.04.2022 20:28;01.04.2022 22:06;0:47:20;1:38:00;1:38:00;;;0:00:00;
35;СПЭЛС;Xe;01.04.2022 22:06;01.04.2022 22:51;0:26:22;0:45:00;0:45:00;;;0:00:00;
36;СПЭЛС;Xe;01.04.2022 22:51;01.04.2022 23:27;0:13:54;0:36:00;0:36:00;;;0:00:00;
37;СПЭЛС;Xe;01.04.2022 23:27;02.04.2022 0:22;0:13:28;0:55:00;0:55:00;;;0:00:00;
38;СПЭЛС;Xe;02.04.2022 0:22;02.04.2022 0:54;0:11:24;0:32:00;0:32:00;;;0:00:00;
39;СПЭЛС;Xe;02.04.2022 0:54;02.04.2022 1:26;0:12:03;0:32:00;0:32:00;;;0:00:00;
40;СПЭЛС;Xe;02.04.2022 1:26;02.04.2022 2:06;0:12:15;0:40:00;0:40:00;;;0:00:00;
41;СПЭЛС;Xe;02.04.2022 2:06;02.04.2022 2:36;0:11:50;0:30:00;0:30:00;;;0:00:00;
42;СПЭЛС;Xe;02.04.2022 2:36;02.04.2022 3:51;0:14:12;1:15:00;1:15:00;;;0:00:00;
43;СПЭЛС;Xe;02.04.2022 3:51;02.04.2022 4:39;0:24:50;0:48:00;0:48:00;;;0:00:00;
44;СПЭЛС;Xe;02.04.2022 4:39;02.04.2022 5:44;0:15:56;1:05:00;1:05:00;;;0:00:00;
45;СПЭЛС;Xe;02.04.2022 5:44;02.04.2022 6:29;0:16:35;0:45:00;0:45:00;;;0:00:00;
46;СПЭЛС;Xe;02.04.2022 6:29;02.04.2022 7:06;0:16:06;0:37:00;0:37:00;;;0:00:00;
47;СПЭЛС;Xe;02.04.2022 7:06;02.04.2022 8:04;0:19:09;0:58:00;0:58:00;;;0:00:00;
48;СПЭЛС;Xe;02.04.2022 8:04;02.04.2022 11:26;1:41:56;3:22:00;3:22:00;;;0:00:00;
49;СПЭЛС;Xe;02.04.2022 11:26;02.04.2022 13:17;1:25:16;1:51:00;1:51:00;;;0:00:00;
50;СПЭЛС;Xe;02.04.2022 13:17;02.04.2022 14:02;0:09:23;0:45:00;0:45:00;;;0:00:00;
51;СПЭЛС;Xe;02.04.2022 14:02;02.04.2022 17:10;1:50:00;3:08:00;3:08:00;;;0:00:00;
52;СПЭЛС;Xe;02.04.2022 17:10;02.04.2022 19:09;1:33:31;1:59:00;1:59:00;;;0:00:00;
53;СПЭЛС;Xe;02.04.2022 19:09;02.04.2022 20:00;0:30:47;0:51:00;0:51:00;;;0:00:00;
-;Детектор;Xe;02.04.2022 20:00;02.04.2022 22:00;-;2:00:00;2:00:00;;;0:00:00;
-;Переход;Xe;02.04.2022 22:00;03.04.2022 3:40;;5:40:00;5:40:00;;;0:00:00;
54;ПН(Переход);Xe;03.04.2022 3:40;03.04.2022 4:01;0:08:35;0:21:00;0:21:00;;;0:00:00;
55;ПН(Переход);Xe;03.04.2022 4:01;03.04.2022 7:50;0:08:42;3:49:00;3:49:00;;;0:00:00;
56;ПН(Переход);Kr;03.04.2022 7:50;03.04.2022 8:14;0:04:06;0:24:00;0:24:00;;;0:00:00;
57;ПН(Переход);Kr;03.04.2022 8:14;03.04.2022 9:00;0:08:30;0:46:00;0:46:00;;;0:00:00;
58;СПЭЛС;Kr;03.04.2022 9:00;03.04.2022 11:19;1:29:55;2:19:57;2:19:57;;;0:00:00;
59;СПЭЛС;Kr;03.04.2022 11:19;03.04.2022 12:49;1:04:21;1:29:03;1:29:03;;;0:00:00;
60;СПЭЛС;Kr;03.04.2022 12:49;03.04.2022 14:44;1:09:35;1:55:00;1:55:00;;;0:00:00;
61;СПЭЛС;Kr;03.04.2022 14:44;03.04.2022 16:16;1:07:48;1:32:00;1:32:00;;;0:00:00;
62;СПЭЛС;Kr;03.04.2022 16:16;03.04.2022 17:09;0:11:10;0:53:00;0:53:00;;;0:00:00;
63;СПЭЛС;Kr;03.04.2022 17:09;03.04.2022 17:48;0:12:08;0:39:00;0:39:00;;;0:00:00;
64;СПЭЛС;Kr;03.04.2022 17:48;03.04.2022 18:45;0:20:19;0:57:00;0:57:00;;;0:00:00;
65;СПЭЛС;Kr;03.04.2022 18:45;03.04.2022 19:24;0:10:51;0:39:00;0:39:00;;;0:00:00;
66;СПЭЛС;Kr;03.04.2022 19:24;03.04.2022 20:25;0:26:12;1:01:00;1:01:00;;;0:00:00;
67;СПЭЛС;Kr;03.04.2022 20:25;03.04.2022 20:48;0:03:47;0:23:00;0:23:00;;;0:00:00;
68;СПЭЛС;Kr;03.04.2022 20:48;03.04.2022 21:25;0:08:41;0:37:00;0:37:00;;;0:00:00;
69;СПЭЛС;Kr;03.04.2022 21:25;03.04.2022 22:12;0:14:29;0:47:00;0:47:00;;;0:00:00;
70;СПЭЛС;Kr;03.04.2022 22:12;03.04.2022 22:45;0:04:21;0:33:00;0:33:00;;;0:00:00;
71;ПН(Смена);Kr;03.04.2022 22:45;03.04.2022 23:10;0:08:36;0:25:00;0:25:00;;;0:00:00;
72;СПЭЛС;Kr;03.04.2022 23:10;04.04.2022 0:08;0:23:47;0:58:00;0:58:00;;;0:00:00;
73;СПЭЛС;Kr;04.04.2022 0:08;04.04.2022 0:55;0:28:22;0:47:00;0:47:00;;;0:00:00;
74;СПЭЛС;Kr;04.04.2022 0:55;04.04.2022 1:46;0:31:46;0:51:00;0:51:00;;;0:00:00;
75;СПЭЛС;Kr;04.04.2022 1:46;04.04.2022 4:07;1:36:39;2:21:00;2:21:00;;;0:00:00;
76;СПЭЛС;Kr;04.04.2022 4:07;04.04.2022 4:58;0:23:11;0:51:00;0:51:00;;;0:00:00;
77;СПЭЛС;Kr;04.04.2022 4:58;04.04.2022 5:33;0:10:48;0:35:00;0:35:00;;;0:00:00;
78;СПЭЛС;Kr;04.04.2022 5:33;04.04.2022 6:46;0:20:44;1:13:00;1:13:00;;;0:00:00;
79;СПЭЛС;Kr;04.04.2022 6:46;04.04.2022 7:25;0:20:35;0:39:00;0:39:00;;;0:00:00;
80;СПЭЛС;Kr;04.04.2022 7:25;04.04.2022 8:02;0:14:26;0:37:00;0:37:00;;;0:00:00;
81;СПЭЛС;Kr;04.04.2022 8:02;04.04.2022 8:50;0:11:28;0:48:00;0:48:00;;;0:00:00;
-;Простой;Kr;04.04.2022 8:50;04.04.2022 9:00;-;0:10:00;0:10:00;;;0:00:00;
-;Переход;Ar;04.04.2022 9:00;04.04.2022 15:45;;6:45:00;6:45:00;;;0:00:00;
82;ПН(Переход);Ar;04.04.2022 15:45;04.04.2022 15:53;0:04:23;0:08:00;0:08:00;;;0:00:00;
83;ПН(Переход);Ar;04.04.2022 15:53;04.04.2022 17:11;0:24:30;1:18:00;1:18:00;;;0:00:00;
84;ПН(Переход);Ar;04.04.2022 17:11;04.04.2022 17:28;0:09:35;0:17:00;0:17:00;;;0:00:00;
85;ПН(Переход);Ar;04.04.2022 17:28;04.04.2022 18:05;0:08:02;0:37:00;0:37:00;;;0:00:00;
86;СПЭЛС;Ar;04.04.2022 18:05;04.04.2022 19:33;0:47:18;1:28:00;1:28:00;;;0:00:00;
87;СПЭЛС;Ar;04.04.2022 19:33;04.04.2022 21:01;0:56:55;1:28:00;1:28:00;;;0:00:00;
88;СПЭЛС;Ar;04.04.2022 21:01;04.04.2022 22:44;0:52:51;1:43:00;1:43:00;;;0:00:00;
89;СПЭЛС;Ar;04.04.2022 22:44;04.04.2022 23:54;0:44:50;1:10:00;1:10:00;;;0:00:00;
90;СПЭЛС;Ar;04.04.2022 23:54;05.04.2022 0:47;0:09:47;0:53:00;0:53:00;;;0:00:00;
91;СПЭЛС;Ar;05.04.2022 0:47;05.04.2022 1:15;0:05:30;0:28:00;0:28:00;;;0:00:00;
92;СПЭЛС;Ar;05.04.2022 1:15;05.04.2022 1:50;0:10:08;0:35:00;0:35:00;;;0:00:00;
93;СПЭЛС;Ar;05.04.2022 1:50;05.04.2022 2:21;0:05:41;0:31:00;0:31:00;;;0:00:00;
94;СПЭЛС;Ar;05.04.2022 2:21;05.04.2022 2:51;0:09:52;0:30:00;0:30:00;;;0:00:00;
95;СПЭЛС;Ar;05.04.2022 2:51;05.04.2022 3:18;0:04:27;0:27:00;0:27:00;;;0:00:00;
96;СПЭЛС;Ar;05.04.2022 3:18;05.04.2022 3:59;0:13:00;0:41:00;0:41:00;;;0:00:00;
97;СПЭЛС;Ar;05.04.2022 3:59;05.04.2022 4:28;0:04:05;0:29:00;0:29:00;;;0:00:00;
98;СПЭЛС;Ar;05.04.2022 4:28;05.04.2022 5:04;0:08:00;0:36:00;0:36:00;;;0:00:00;
99;СПЭЛС;Ar;05.04.2022 5:04;05.04.2022 5:32;0:05:10;0:28:00;0:28:00;;;0:00:00;
100;СПЭЛС;Ar;05.04.2022 5:32;05.04.2022 6:06;0:09:10;0:34:00;0:34:00;;;0:00:00;
101;СПЭЛС;Ar;05.04.2022 6:06;05.04.2022 6:32;0:03:46;0:26:00;0:26:00;;;0:00:00;
102;СПЭЛС;Ar;05.04.2022 6:32;05.04.2022 7:07;0:08:10;0:35:00;0:35:00;;;0:00:00;
103;СПЭЛС;Ar;05.04.2022 7:07;05.04.2022 7:40;0:04:18;0:33:00;0:33:00;;;0:00:00;
104;ПН(Смена);Ar;05.04.2022 7:40;05.04.2022 8:05;0:08:37;0:25:00;0:25:00;;;0:00:00;
105;СПЭЛС;Ar;05.04.2022 8:05;05.04.2022 9:19;0:26:24;1:14:00;1:14:00;;;0:00:00;
106;СПЭЛС;Ar;05.04.2022 9:19;05.04.2022 10:43;0:26:29;1:24:00;0:49:00;05.04.2022 9:40;05.04.2022 10:15;0:35:00;
107;СПЭЛС;Ar;05.04.2022 10:43;05.04.2022 11:20;0:17:03;0:37:00;0:37:00;;;0:00:00;
108;СПЭЛС;Ar;05.04.2022 11:20;05.04.2022 13:14;1:11:05;1:54:00;1:54:00;;;0:00:00;
109;СПЭЛС;Ar;05.04.2022 13:14;05.04.2022 14:22;0:39:48;1:08:00;1:08:00;;;0:00:00;
110;СПЭЛС;Ar;05.04.2022 14:22;05.04.2022 14:48;0:14:33;0:26:00;0:26:00;;;0:00:00;
111;СПЭЛС;Ar;05.04.2022 14:48;05.04.2022 16:22;0:34:27;1:34:00;1:34:00;;;0:00:00;
112;СПЭЛС;Ar;05.04.2022 16:22;05.04.2022 17:25;0:31:30;1:03:00;1:03:00;;;0:00:00;
-;Переход;Ne;05.04.2022 17:25;05.04.2022 21:20;;3:55:00;3:55:00;;;0:00:00;
113;ПН(Переход);Ne;05.04.2022 21:20;05.04.2022 21:43;0:03:20;0:23:00;0:23:00;;;0:00:00;
114;ПН(Переход);Ne;05.04.2022 21:43;06.04.2022 0:14;0:08:17;2:31:00;2:31:00;;;0:00:00;
115;ПН(Переход);Ne;06.04.2022 0:14;06.04.2022 1:27;0:09:14;1:13:00;1:13:00;;;0:00:00;
116;ПН(Переход);Ne;06.04.2022 1:27;06.04.2022 2:15;0:08:08;0:48:00;0:48:00;;;0:00:00;
117;СПЭЛС;Ne;06.04.2022 2:15;06.04.2022 3:36;0:48:09;1:21:00;1:21:00;;;0:00:00;
118;СПЭЛС;Ne;06.04.2022 3:36;06.04.2022 4:47;0:41:47;1:11:00;1:11:00;;;0:00:00;
119;СПЭЛС;Ne;06.04.2022 4:47;06.04.2022 6:47;0:55:24;2:00:00;2:00:00;;;0:00:00;
120;СПЭЛС;Ne;06.04.2022 6:47;06.04.2022 7:48;0:25:57;1:01:00;1:01:00;;;0:00:00;
121;СПЭЛС;Ne;06.04.2022 7:48;06.04.2022 8:36;0:15:01;0:48:00;0:48:00;;;0:00:00;
122;СПЭЛС;Ne;06.04.2022 8:36;06.04.2022 10:29;0:38:39;1:53:00;1:53:00;;;0:00:00;
123;СПЭЛС;Ne;06.04.2022 10:29;06.04.2022 11:28;0:34:27;0:59:00;0:59:00;;;0:00:00;
124;СПЭЛС;Ne;06.04.2022 11:28;06.04.2022 12:42;0:48:50;1:14:00;1:14:00;;;0:00:00;
125;СПЭЛС;Ne;06.04.2022 12:42;06.04.2022 13:58;0:43:07;1:16:00;1:16:00;;;0:00:00;
126;СПЭЛС;Ne;06.04.2022 13:58;06.04.2022 15:07;0:40:24;1:09:00;1:09:00;;;0:00:00;
127;СПЭЛС;Ne;06.04.2022 15:07;06.04.2022 16:15;0:42:37;1:08:00;1:08:00;;;0:00:00;
128;СПЭЛС;Ne;06.04.2022 16:15;06.04.2022 17:23;0:16:40;1:08:00;1:08:00;;;0:00:00;
129;СПЭЛС;Ne;06.04.2022 17:23;06.04.2022 17:55;0:05:35;0:32:00;0:32:00;;;0:00:00;
130;СПЭЛС;Ne;06.04.2022 17:55;06.04.2022 18:45;0:13:04;0:50:00;0:50:00;;;0:00:00;
131;СПЭЛС;Ne;24.04.2022 22:00;;0:13:04;0:50:00;0:50:00;;;0:00:00;
132;СПЭЛС;Ne;25.04.2022 17:55;;0:13:04;0:50:00;0:50:00;;;0:00:00;
